TableID,ID,Latitude,Longitude,Year,type,directly from the barn,Surface.area..m2.,Manure.volume..m3.,SV,Highest.air.temperature,Highest.manure.temperature,dif,Lowest.air.temperature,Lowest.manure.temperature,dif_low,doi
5,1.1,43°43.5'N, 80°36.36'W,2010-11,Tank,No,729.7,1970.1,0.37,22.2,20,-2.2,NA,NA,NA,https://doi.org/10.1016/j.agrformet.2017.12.184
6,1.3,43°43.5'N, 80°36.36'W,2013,Tank,No,729.7,1751.2,0.42,20.3,19,-1.3,NA,NA,NA,https://doi.org/10.1016/j.agrformet.2017.12.184
7,7,45° 15'N,75° 49'W,2016,Tank,No,1257,2891.1,0.43,21.6,23.4,1.8,NA,NA,NA,https://doi.org/10.1080/10962247.2019.1629359
3,14.1,45° 15'N,75° 09'W,2013,Earthen storage,No,4140,9932,0.42,20.8,20.6,-0.2,NA,NA,NA,https://doi.org/10.1016/j.biortech.2016.06.031
4,14.2,45° 15'N,75° 09'W,2014,Earthen storage,No,4140,8344,0.5,19.7,19.7,0,NA,NA,NA,https://doi.org/10.1016/j.biortech.2016.06.031
8,20,49° 54'N,99° 49'W,2018,Earthen storage,No,1034,3108,0.33,19.6,17.4,-2.2,-17.4,0.2,17.6,Brandon Farm
9,21,49° 05'N,122° 54'W,2019-20,Earthen storage,No,1891,4170,0.45,17.7,20.3,2.6,4.2,6.8,2.6,Seabreeze Farm(BC)
1,,45° 15'N,75° 49'W,2013,Tank,No,1257,2795,0.45,20.8,20.5,-0.3,,,,"Fraser Farm, Ottawa"
2,,45° 15'N,75° 49'W,2014,Tank,No,1257,1840,0.68,19.1,21,0.9,,,,"Fraser Farm, Ottawa"
10,FF,45° 15'N,75° 49'W,2017,Tank,No,1257,2037,0.62,19.6,21.6,2,NA,NA,NA,"Fraser Farm, Ottawa"
11,FF,45° 15'N,75° 49'W,2018,Tank,No,1257,2220,0.57,22.8,22.7,-0.1,NA,NA,NA,"Fraser Farm, Ottawa"
12,FF,45° 15'N,75° 49'W,2019,Tank,No,1257,2569,0.49,22.7,22.5,-0.2,NA,NA,NA,"Fraser Farm, Ottawa"
