Year,Month,Day,DOY,AirTmax1,AirTmin1,AirTmin2,AirTmax0,SR,Srmax,precip,RH.6,RH.15,wind,cloud,Date ID, Ave AirTmax 1 and AirTmin1
2020,6,18,169,22.4,8.8,10.7,15.3,30,30,0,89,51,1.3,1,18431,15.6
2020,6,19,170,25.2,10.7,13.4,22.4,38.3,38.3,0.1,81,42,3.3,1,18432,17.95
2020,6,20,171,24,13.4,13,25.2,37.7,37.7,0,81,57,4.5,1,18433,18.7
2020,6,21,172,22.3,13,9.4,24,41.2,41.2,0,63,38,3.8,1,18434,17.65
2020,6,22,173,20.8,9.4,8.3,22.3,28.2,37.9,0.1,69,46,2.9,0.744063325,18435,15.1
2020,6,23,174,24.3,8.3,12.7,20.8,33.7,33.7,0,91,42,1.1,1,18436,16.3
2020,6,24,175,27,12.7,15.3,24.3,40.3,40.3,0,75,32,1.7,1,18437,19.85
2020,6,25,176,28.4,15.3,11.6,27,38.7,38.7,0,73,39,2.1,1,18438,21.85
2020,6,26,177,27.3,11.6,14.7,28.4,39.9,39.9,0,69,30,2.9,1,18439,19.45
2020,6,27,178,27.3,14.7,15.2,27.3,32.9,32.9,0,70,37,2.5,1,18440,21
2020,6,28,179,26.9,15.2,13.1,27.3,26.1,36.8,0,80,43,3.8,0.70923913,18441,21.05
2020,6,29,180,21.4,13.1,11.8,26.9,21.9,27.7,3.9,97,49,2.3,0.790613718,18442,17.25
2020,6,30,181,18,11.8,11.6,21.4,15.2,36.6,3.8,82,81,2.7,0.415300546,18443,14.9
2020,7,1,182,18.2,11.6,11.2,18,18,30.7,0.5,84,55,2.9,0.586319218,18444,14.9
2020,7,2,183,17.9,11.2,7.6,18.2,22.7,39.7,2,91,87,3,0.571788413,18445,14.55
2020,7,3,184,18.3,7.6,10.5,17.9,28,40,0,76,43,3.3,0.7,18446,12.95
2020,7,4,185,16.3,10.5,12.9,18.3,14.7,34.4,5.9,93,85,2.3,0.427325581,18447,13.4
2020,7,5,186,18.4,12.9,11.8,16.3,15.1,32.7,22.4,85,97,4.2,0.4617737,18448,15.65
