"name.list","removal.spring.early","removal.spring.late","removal.fall.early","removal.fall.late"
"1001002",5,7,9,11
"1001003",5,7,9,11
"1001005",5,7,9,10
"1001007",5,7,9,10
"1001009",5,7,9,11
"1001010",5,7,9,10
"1001016",5,7,9,11
"1002010",5,7,9,11
"1002013",5,7,9,10
"1002015",5,7,9,10
"1002020",5,7,9,10
"1003017",5,7,9,10
"1004001",5,7,9,10
"1004004",5,7,9,10
"1004005",5,7,9,10
"1004012",4,7,9,11
"1004013",4,7,9,11
"1004014",4,7,9,11
"1004015",4,7,9,11
"1004018",4,7,9,11
"1004019",4,7,9,11
"1004020",4,7,9,11
"1004021",4,7,9,11
"1004022",4,7,9,11
"1004023",5,7,9,10
"1004025",5,7,9,11
"1004026",5,7,9,11
"1004027",5,7,9,10
"1004030",5,7,9,11
"1005001",5,7,9,11
"1005002",4,7,9,11
"1005003",5,7,9,11
"1005004",4,7,9,11
"1005005",5,7,9,11
"1005006",5,7,9,11
"1005007",5,7,9,11
"1005008",5,7,9,11
"1005009",5,7,9,11
"1005010",5,7,9,11
"1005011",5,7,9,11
"1005012",5,7,9,11
"1005013",5,7,9,11
"1005014",5,7,9,11
"1005015",5,7,9,11
"1005016",5,7,9,11
"1005017",5,7,9,11
"1005018",5,7,9,11
"1006002",4,7,9,11
"1006004",5,7,9,11
"1006006",5,7,9,11
"1006007",5,7,9,11
"1006009",5,7,9,11
"1006011",5,7,9,11
"1006014",5,7,9,11
"1006018",5,7,9,11
"1006020",5,7,9,11
"1006022",5,7,9,11
"1006023",5,7,9,11
"1006024",5,7,9,11
"1006025",5,7,9,11
"1006026",5,7,9,11
"1006027",5,7,9,11
"1006029",5,7,9,11
"1007001",4,7,9,11
"1007002",4,7,9,11
"1007003",4,7,9,11
"1007004",4,7,9,11
"1007005",4,7,9,11
"1007006",4,7,9,11
"1007007",4,7,9,11
"1007008",4,7,9,11
"1007009",4,7,9,11
"1007010",4,7,9,11
"1007011",4,7,9,11
"1007012",4,7,9,11
"1007013",4,7,9,11
"1007014",5,7,9,11
"1007015",4,7,9,11
"1007016",5,7,9,11
"1007018",5,7,9,11
"1007019",5,7,9,11
"1007020",5,7,9,11
"1007021",5,7,9,11
"1007022",4,7,9,11
"1008003",4,7,9,11
"1008004",5,7,9,11
"1008005",4,7,9,11
"1008006",4,7,9,11
"1008008",5,7,9,11
"1008009",5,7,9,11
"1008011",4,7,9,11
"1008014",4,7,9,11
"1008016",5,7,9,11
"1008019",5,7,9,11
"1008020",4,7,9,11
"1008022",4,7,9,11
"1009007",5,7,9,11
"1009011",5,7,9,11
"1009013",5,7,9,11
"1009014",5,7,9,11
"1009018",5,7,9,11
"1010002",5,7,9,11
